SCSN Catalog Search Results from SCEDC doi:10.7909/C3WD3xH1
<PRE>
#YYY/MM/DD HH:mm:SS.ss ET GT MAG  M    LAT       LON      DEPTH Q  EVID      NPH NGRM
1971/02/09 14:00:41.92 eq  l 6.60 w   34.41600 -118.37000   8.9 C  3347678   23    0
1971/02/09 14:01:12.45 eq  l 5.80 h   34.41600 -118.37000   6.0 C  3360255    2    0
1971/02/09 14:01:36.84 eq  l 4.20 h   34.41600 -118.37000   6.0 C  3360254    2    0
1971/02/09 14:01:40.08 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360253    1    0
1971/02/09 14:01:53.04 eq  l 4.50 h   34.41600 -118.37000   6.0 C  3360252    1    0
1971/02/09 14:01:54.44 eq  l 4.20 h   34.41600 -118.37000   6.0 C  3360251    1    0
1971/02/09 14:01:59.08 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360250    1    0
1971/02/09 14:02:03.00 eq  l 4.10 h   34.41117 -118.40067   6.0 D 12315507    0    0
1971/02/09 14:02:29.94 eq  l 4.70 h   34.41600 -118.37000   6.0 C  3360246    1    0
1971/02/09 14:02:45.74 eq  l 5.80 h   34.41600 -118.37000   6.0 C  3360245    3    0
1971/02/09 14:03:25.08 eq  l 4.40 h   34.41600 -118.37000   6.0 C  3360238    1    0
1971/02/09 14:03:43.34 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360236    1    0
1971/02/09 14:04:07.44 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360235    1    0
1971/02/09 14:04:35.98 eq  l 4.20 h   34.41600 -118.37000   6.0 C  3360232    3    0
1971/02/09 14:04:37.64 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360230    1    0
1971/02/09 14:04:42.34 eq  l 4.20 h   34.41600 -118.37000   6.0 C  3360226    1    0
1971/02/09 14:04:44.08 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360227    1    0
1971/02/09 14:04:46.00 eq  l 4.20 h   34.41117 -118.40067   6.0 D 12315527    0    0
1971/02/09 14:05:41.34 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360221    2    0
1971/02/09 14:05:52.15 eq  l 4.10 h   34.41600 -118.37000   6.0 C  3360220    2    0
1971/02/09 14:07:10.44 eq  l 4.00 h   34.41600 -118.37000   6.0 C  3360212    1    0
1971/02/09 14:07:43.97 eq  l 4.50 h   34.41600 -118.37000   6.0 C  3360209    2    0
1971/02/09 14:07:59.24 eq  l 4.00 h   34.41600 -118.37000   6.0 C  3360207    3    0
1971/02/09 14:08:03.41 eq  l 4.20 h   34.41600 -118.37000   6.0 C  3360206    3    0
1971/02/09 14:08:34.04 eq  l 4.50 h   34.41600 -118.37000   6.0 C  3360204    1    0
1971/02/09 14:08:53.72 eq  l 4.60 h   34.41600 -118.37000   6.0 C  3360203    4    0
