"MAJOR1","STUID","SCICAREER","SCIENCE_SELF_EFFICACY","SCIENCE_IDENTITY","ACADEMIC_SELFCONCEPT","HABITS_OF_MIND","MAJORGPA","GOAL19","GOAL11","GOAL04","RESEARCH","HPW17","HPW29","HPW28","HPW09","HPW04","HPW24","HPW06","HPW27","HPW02","major","SCIENCE_SELF_EFFICACY_z","SCIENCE_IDENTITY_z","ACADEMIC_SELFCONCEPT_z","HABITS_OF_MIND_z"
114,"989203681",3,46.78,55.16,38.6,51.74,5,2,3,2,3,5,4,6,8,5,4,4,3,2,"Health Professions",-0.346297190574704,0.499590497168544,-1.4195982062376,-0.141247944197858
663,"989180500",2,40.53,48.42,48.12,38.6,5,1,3,2,1,3,2,3,2,1,4,1,1,1,"Biological & Life Sciences",-0.843042732042905,-0.101681080216425,-0.338497705971772,-1.66173447299771
113,"989212959",5,63.04,61.67,41.08,59.19,4,2,4,2,1,4,3,4,4,4,4,3,1,3,"Health Professions",0.946036010108969,1.08034390499883,-1.13796698347928,0.720823946179532
769,"989210072",5,53.02,61.67,52.39,47.76,7,3,3,3,3,6,3,5,8,2,7,2,2,2,"Engineering",0.149653558027148,1.08034390499883,0.146407665470991,-0.601791048050479
123,"989215574",2,35.09,55.83,35.82,49.93,3,2,4,4,1,6,7,8,8,6,8,3,5,3,"Health Professions",-1.27541005133683,0.559360817175655,-1.73529772207153,-0.350690913537869
446,"989201291",2,60.32,54.43,68.3,39.95,8,1,2,2,1,6,4,4,4,4,5,5,1,2,"Math & Computer Science",0.729852350462007,0.434467611190647,1.95316280824719,-1.50552010360047
446,"989195214",2,40.63,52.52,48.68,37.09,7,1,4,3,1,6,3,4,1,1,2,2,4,3,"Math & Computer Science",-0.835094803379415,0.264077594453957,-0.274903558897311,-1.83646313802722
560,"989209670",2,40.63,46.68,47.24,41.29,2,1,3,3,1,8,5,4,8,5,8,5,1,3,"Physical Science",-0.835094803379415,-0.256905493369222,-0.43843136566021,-1.35046287768024
114,"989818212",2,42.95,55.93,56.38,56.43,3,4,4,3,1,4,3,7,8,2,5,7,1,4,"Health Professions",-0.650702858386418,0.568281760460299,0.599515963376523,0.401452346522942
446,"989075362",3,38.74,41.4,48.68,36.33,6,1,2,1,1,7,5,4,5,1,5,3,1,3,"Math & Computer Science",-0.985310655119398,-0.727931298798397,-0.274903558897311,-1.92440604228049
772,"989240204",5,57.76,52.52,51.9,49.58,7,4,3,3,1,5,2,2,3,1,3,3,1,2,"Engineering",0.526385376676632,0.264077594453957,0.0907627867808376,-0.391190935233451
115,"989211843",5,48.73,59.5,45.39,62.75,5,3,3,3,3,5,2,5,4,3,4,4,1,2,"Health Professions",-0.191312581636626,0.886759435722071,-0.648519172959767,1.13276702399745
663,"989208446",1,50.02,41.4,58.04,45.96,8,1,4,1,1,4,1,4,5,1,6,1,1,2,"Biological & Life Sciences",-0.0887843018775882,-0.727931298798397,0.788027185061531,-0.810076873913472
663,"989207360",2,36.55,41.15,28.3,31.6,4,1,3,1,1,4,2,5,5,1,6,2,1,5,"Biological & Life Sciences",-1.15937029284986,-0.750233657010006,-2.5892762685,-2.47173490690936
663,"989222339",1,45.57,46.68,46.21,39.95,8,1,2,1,1,5,2,4,3,3,2,2,1,3,"Biological & Life Sciences",-0.442467127402948,-0.256905493369222,-0.55539917188645,-1.50552010360047
560,"989241953",4,61.01,54.89,56.27,48,4,2,4,3,1,7,5,6,8,7,4,4,1,3,"Physical Science",0.784693058240097,0.475503950300007,0.587024255915468,-0.574019604602079
115,"989222627",4,70.93,62.59,38.18,62.75,2,3,3,4,1,4,2,4,5,1,4,4,1,3,"Health Professions",1.57312758165843,1.16241658321755,-1.46729381654345,1.13276702399745
115,"989173989",4,55.65,52.52,64.14,33.46,6,1,1,1,2,4,1,8,5,1,8,4,1,1,"Health Professions",0.358684081876967,0.264077594453957,1.48074914426548,-2.25650622018426
115,"989188539",4,44.62,52.52,38.97,44.5,3,3,4,4,4,4,5,4,4,2,4,2,1,2,"Health Professions",-0.517972449706115,0.264077594453957,-1.37758064477769,-0.979019821557901
558,"989219839",4,44.62,52.52,36.33,41.4,6,1,2,1,3,4,3,8,4,4,4,1,6,2,"Physical Science",-0.517972449706115,0.264077594453957,-1.67738162384301,-1.33773429943306
561,"989214331",3,47.24,67.49,38.97,62.07,7,2,3,3,1,5,5,4,4,2,4,4,4,2,"Physical Science",-0.309736718722644,1.59954280416508,-1.37758064477769,1.05408126756032
